Building 60 5-fault (3 hop + 2 profile) musique_real hop examples (bench_seed=42, scan_limit=760)...
Built 60 examples. seeds=[0, 1, 2], model=llama-3.3-70b, arms=['direct', 'self_refine', 'full_regen', 'react', 'selfcheckgpt', 'reflexion', 'intro_specter']
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=0 arm=direct: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'concise': True, 'english': True} all_resolved=False n_resolved=2/5 tokens=(1679,133)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=0 arm=self_refine: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'concise': True, 'english': True} all_resolved=False n_resolved=2/5 tokens=(3608,472)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=0 arm=full_regen: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'concise': True, 'english': True} all_resolved=False n_resolved=2/5 tokens=(3358,266)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=0 arm=react: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'concise': True, 'english': True} all_resolved=False n_resolved=2/5 tokens=(3411,571)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=0 arm=selfcheckgpt: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'concise': True, 'english': True} all_resolved=False n_resolved=2/5 tokens=(9564,178)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=0 arm=reflexion: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'concise': True, 'english': True} all_resolved=False n_resolved=2/5 tokens=(9306,313)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=0 arm=intro_specter: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'concise': True, 'english': True} all_resolved=False n_resolved=2/5 tokens=(3762,559)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=1 arm=direct: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'concise': True, 'english': True} all_resolved=False n_resolved=2/5 tokens=(1679,133)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=1 arm=self_refine: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'concise': True, 'english': True} all_resolved=False n_resolved=2/5 tokens=(3608,473)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=1 arm=full_regen: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/5 tokens=(3358,272)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=1 arm=react: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'concise': True, 'english': True} all_resolved=False n_resolved=2/5 tokens=(3411,551)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=1 arm=selfcheckgpt: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'concise': True, 'english': True} all_resolved=False n_resolved=2/5 tokens=(9564,178)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=1 arm=reflexion: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'concise': True, 'english': True} all_resolved=False n_resolved=2/5 tokens=(9318,536)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=1 arm=intro_specter: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'concise': True, 'english': True} all_resolved=False n_resolved=2/5 tokens=(3762,559)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=2 arm=direct: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'concise': True, 'english': True} all_resolved=False n_resolved=2/5 tokens=(1679,133)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=2 arm=self_refine: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'concise': True, 'english': True} all_resolved=False n_resolved=2/5 tokens=(3608,473)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=2 arm=full_regen: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'concise': True, 'english': True} all_resolved=False n_resolved=2/5 tokens=(3358,266)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=2 arm=react: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'concise': True, 'english': True} all_resolved=False n_resolved=2/5 tokens=(3411,523)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=2 arm=selfcheckgpt: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'concise': True, 'english': True} all_resolved=False n_resolved=2/5 tokens=(9564,178)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=2 arm=reflexion: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'concise': True, 'english': True} all_resolved=False n_resolved=2/5 tokens=(9306,313)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=2 arm=intro_specter: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'concise': True, 'english': True} all_resolved=False n_resolved=2/5 tokens=(3762,559)
  N=5 real_musique_hop_00002_3hop1__105767_443779_52195 seed=0 arm=direct: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(1862,397)
  N=5 real_musique_hop_00002_3hop1__105767_443779_52195 seed=0 arm=self_refine: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True, 'concise': False} all_resolved=False n_resolved=4/5 tokens=(4266,1211)
  N=5 real_musique_hop_00002_3hop1__105767_443779_52195 seed=0 arm=full_regen: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'bullets': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(3724,820)
  N=5 real_musique_hop_00002_3hop1__105767_443779_52195 seed=0 arm=react: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'bullets': True, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(3777,1008)
