task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
taubench_recon_00080,taubench_recon,direct,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,deny,621,244,0,0.02254103310406208,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 621, 'prime_tokens_output': 244}"
taubench_recon_00081,taubench_recon,direct,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,deny,612,438,0,0.03983289934694767,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 612, 'prime_tokens_output': 438}"
taubench_recon_00082,taubench_recon,direct,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,"deny The policy dictates that customers with 3+ prior returns always receive a 'deny' for fee waivers, regardless of their tier level or days since last purchase.",621,585,0,0.023042084649205208,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 621, 'prime_tokens_output': 585}"
taubench_recon_00083,taubench_recon,direct,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,deny,612,233,0,0.02945913001894951,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 612, 'prime_tokens_output': 233}"
taubench_recon_00084,taubench_recon,direct,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,"partial
Standard-tier customers within 15-30 days get 'partial'.",612,307,0,0.01295795664191246,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 612, 'prime_tokens_output': 307}"
taubench_recon_00085,taubench_recon,direct,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,"deny
Denial due to the customer having 4 prior returns this year, which exceeds the threshold of 3.",612,338,0,0.008167000487446785,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 612, 'prime_tokens_output': 338}"
taubench_recon_00086,taubench_recon,direct,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,refund. Granting refund due to the customer's gold tier.,621,282,0,0.013499986380338669,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 621, 'prime_tokens_output': 282}"
taubench_recon_00087,taubench_recon,direct,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,refund,621,252,0,0.031709205359220505,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 621, 'prime_tokens_output': 252}"
taubench_recon_00088,taubench_recon,direct,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,partial,612,293,0,0.053999945521354675,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 612, 'prime_tokens_output': 293}"
taubench_recon_00089,taubench_recon,direct,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,deny,621,348,0,0.00700005330145359,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 621, 'prime_tokens_output': 348}"
