Building 60 2-fault-injected longmemeval_real examples (bench_seed=42, scan_limit=3000, model=mistral-nemo-12b provider=openrouter model_id=mistralai/mistral-nemo)...
Built 60 examples. seeds=[0, 1, 2], arms=['direct', 'self_refine', 'reflexion', 'full_regen', 'react', 'selfcheckgpt', 'intro_specter']
[direct] Resuming: 3 (task_id, seed) rows already present.
  model=mistral-nemo-12b N=2 arm=direct real_lme_00000_gpt4_2ba83207 seed=1: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2482,394)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00000_gpt4_2ba83207 seed=2: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2482,386)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00001_603deb26 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2519,291)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00001_603deb26 seed=2: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2519,487)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00002_51c32626 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2158,353)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00002_51c32626 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2158,344)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00004_gpt4_2655b836 seed=0: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2196,367)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00004_gpt4_2655b836 seed=1: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2196,367)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00004_gpt4_2655b836 seed=2: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(2196,280)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00005_2698e78f_abs seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2153,416)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00005_2698e78f_abs seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2153,416)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00005_2698e78f_abs seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2153,362)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00006_gpt4_1d80365e seed=0: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2323,258)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00006_gpt4_1d80365e seed=1: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2323,258)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00006_gpt4_1d80365e seed=2: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2323,287)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00007_5025383b seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2071,255)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00007_5025383b seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2071,255)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00007_5025383b seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2071,272)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00008_gpt4_cd90e484 seed=0: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2184,264)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00008_gpt4_cd90e484 seed=1: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2184,264)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00008_gpt4_cd90e484 seed=2: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(2184,353)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00009_c19f7a0b seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2361,167)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00009_c19f7a0b seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2361,167)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00009_c19f7a0b seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2361,393)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00010_0a34ad58 seed=0: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(2700,466)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00010_0a34ad58 seed=1: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(2700,466)
  model=mistral-nemo-12b N=2 arm=direct real_lme_00010_0a34ad58 seed=2: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(2700,593)
