,,fault_node_predicted,success,success,success,success,success,success,success,success,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate
method,,intro_specter_llm,direct,full_regen,intro_specter_llm,react,reflexion,self_refine,selfcheckgpt,tot,direct,full_regen,intro_specter_llm,react,reflexion,self_refine,selfcheckgpt,tot,direct,full_regen,intro_specter_llm,react,reflexion,self_refine,selfcheckgpt,tot,direct,full_regen,intro_specter_llm,react,reflexion,self_refine,selfcheckgpt,tot
task_id,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
real_lme_00000_gpt4_2ba83207,42,a4,False,False,False,False,False,False,False,False,2142.0,4284.0,5010.0,4338.0,13863.0,4858.0,12665.0,97677.0,437.0,1033.0,1073.0,1108.0,1935.0,1082.0,729.0,4401.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00001_603deb26,42,a2,False,False,False,False,False,False,False,,2183.0,4366.0,4871.0,4420.0,12684.0,4719.0,14975.0,,274.0,589.0,621.0,830.0,1053.0,655.0,555.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
real_lme_00002_51c32626,42,a2,False,True,True,False,False,False,False,,1843.0,3686.0,4151.0,3740.0,10795.0,3999.0,10739.0,,233.0,639.0,549.0,811.0,924.0,664.0,456.0,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,
real_lme_00003_8550ddae,42,,True,True,True,True,True,True,True,True,1895.0,3790.0,4310.0,3844.0,1895.0,4158.0,11066.0,14961.0,288.0,485.0,506.0,980.0,288.0,865.0,471.0,690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00004_gpt4_2655b836,42,a2,False,False,False,False,False,False,False,False,1940.0,3880.0,4287.0,3934.0,11074.0,4135.0,13204.0,86546.0,199.0,446.0,704.0,730.0,885.0,636.0,414.0,3081.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00005_2698e78f_abs,42,a5,False,False,True,False,False,False,False,False,1844.0,3688.0,4163.0,3742.0,10838.0,4011.0,12949.0,14535.0,240.0,484.0,837.0,836.0,919.0,596.0,765.0,624.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
real_lme_00006_gpt4_1d80365e,42,,False,False,,False,False,False,False,False,2012.0,3988.0,,4042.0,11890.0,4470.0,11639.0,64344.0,371.0,673.0,,1119.0,956.0,914.0,652.0,2727.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
real_lme_00007_5025383b,42,a1,False,False,False,True,False,False,False,True,1713.0,3426.0,3987.0,3480.0,10200.0,3835.0,9887.0,34081.0,302.0,657.0,486.0,887.0,869.0,647.0,425.0,1472.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
real_lme_00008_gpt4_cd90e484,42,a1,False,False,False,True,False,False,False,True,1841.0,3682.0,4271.0,3736.0,11470.0,4119.0,12729.0,14581.0,354.0,847.0,580.0,994.0,1243.0,933.0,767.0,836.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
real_lme_00009_c19f7a0b,42,a1,False,True,True,False,False,False,True,True,1947.0,3894.0,4391.0,3948.0,11443.0,4239.0,13254.0,15405.0,263.0,484.0,612.0,911.0,990.0,556.0,462.0,724.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
real_lme_00010_0a34ad58,42,a2,False,False,False,False,False,False,False,False,2117.0,4234.0,4741.0,4288.0,12535.0,4589.0,12481.0,16762.0,274.0,606.0,608.0,782.0,1128.0,784.0,537.0,742.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00011_gpt4_65aabe59,42,,True,True,True,True,True,True,True,True,2056.0,4112.0,4505.0,4166.0,2056.0,4353.0,12097.0,41130.0,185.0,339.0,518.0,632.0,185.0,531.0,455.0,1569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00012_d6233ab6,42,a1,False,False,False,False,False,False,,False,1799.0,3598.0,4011.0,3652.0,10480.0,3859.0,,14198.0,208.0,453.0,422.0,758.0,779.0,572.0,,642.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
real_lme_00013_7024f17c,42,a2,False,False,False,False,False,False,False,False,1818.0,3636.0,4082.0,3690.0,10809.0,3930.0,10672.0,82436.0,240.0,562.0,566.0,974.0,1162.0,873.0,491.0,3859.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00014_gpt4_c27434e8_abs,42,,True,False,True,False,True,False,True,False,1756.0,3512.0,4006.0,3566.0,1756.0,3854.0,10595.0,13889.0,257.0,553.0,590.0,963.0,257.0,688.0,587.0,696.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
real_lme_00015_6456829e,42,a2,False,True,False,False,False,False,False,True,1944.0,3888.0,4408.0,3942.0,11764.0,4256.0,11346.0,15308.0,312.0,626.0,631.0,914.0,1305.0,846.0,477.0,661.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
real_lme_00016_f8c5f88b,42,,True,True,True,False,True,True,True,False,1986.0,3972.0,4683.0,4026.0,1986.0,4531.0,11665.0,15668.0,457.0,789.0,880.0,1106.0,457.0,958.0,650.0,852.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
real_lme_00017_ba358f49_abs,42,a2,False,False,False,False,False,False,False,False,2029.0,4058.0,4487.0,4112.0,11758.0,4335.0,11902.0,40951.0,222.0,517.0,517.0,883.0,911.0,732.0,433.0,1700.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00018_gpt4_d31cdae3,42,,True,True,True,False,True,False,True,True,2177.0,4354.0,5203.0,4408.0,2177.0,5051.0,14940.0,97210.0,560.0,802.0,983.0,1402.0,560.0,1156.0,747.0,3922.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
real_lme_00019_gpt4_e414231f,42,a3,False,False,False,False,False,False,False,False,2015.0,4030.0,4708.0,4084.0,12767.0,4556.0,11775.0,40521.0,416.0,756.0,898.0,1087.0,1579.0,1102.0,602.0,2099.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
