cell,task_id,seed,task_prompt,gold_answer,direct_final,direct_success,is_final,is_success,is_repair_status,is_fault_node,label_bucket,label_subbucket,label_notes
Profile-MuSiQue × Gemini Flash,musique_recon_00080,0,,,巴西的官方语言是葡萄牙语。,False,The final answer is not yet available as the translation tool output is missing.,False,repair_failed,a4,,,
Profile-MuSiQue × Gemini Flash,musique_recon_00081,1,,,Berlim,False,Berlim,False,repair_failed,a5,,,
Profile-MuSiQue × Gemini Flash,musique_recon_00082,0,,,Índia,False,A Índia,False,repair_failed,a5,,,
Profile-MuSiQue × Gemini Flash,musique_recon_00082,1,,,كتالونيا,False,كتالونيا,False,repair_failed,a5,,,
Profile-MuSiQue × Gemini Flash,musique_recon_00083,2,,,Os Lusíadas,False,Os Lusíadas,False,repair_failed,a1,,,
Profile-MuSiQue × Gemini Flash,musique_recon_00084,1,,,La capital del Reino Unido es Londres.,False,La capital del Reino Unido es Londres.,False,repair_failed,a4,,,
Profile-MuSiQue × Gemini Flash,musique_recon_00088,1,,,Moscou,False,A capital da Rússia é Moscou.,False,repair_failed,a6,,,
Profile-MuSiQue × Gemini Flash,musique_recon_00094,2,,,गैलापागोस द्वीप समूह को इक्वाडोर नियंत्रित करता है।,False,इक्वाडोर,False,repair_failed,a4,,,
Profile-MuSiQue × Gemini Flash,musique_recon_00096,2,,,El río Danubio.,False,El río Danubio,False,repair_failed,a4,,,
Profile-MuSiQue × Gemini Flash,musique_recon_00098,0,,,इक्वाडोर,False,इक्वाडोर,False,repair_failed,a5,,,
Profile-MuSiQue × Qwen 7B,musique_recon_00082,2,,,الدولة Lu التي عاش فيها كونفوتشيوس تقع في الصين.,False,الجواب هو الصين.,False,repair_failed,a2,,,
Profile-MuSiQue × Qwen 7B,musique_recon_00083,2,,,Os Lusíadas,False,Os Lusíadas,False,repair_failed,a3,,,
Profile-MuSiQue × Qwen 7B,musique_recon_00084,1,,,,False,Londres,False,repair_failed,a2,,,
Profile-MuSiQue × Qwen 7B,musique_recon_00085,0,,,المدينة المفضلة لرحلة الطهي هي مومباي، حيث أنها المدينة الشهيرة بالطعام النباتي في العالم ولها تقليد غذائي نباتي قوي، مما يجعلها مثالية للعثور على أطباق متنوعة ولذيذة.,False,京都,False,repair_failed,a3,,,
Profile-MuSiQue × Qwen 7B,musique_recon_00087,2,,,To Kill a Mockingbird,False,To Kill a Mockingbird,False,repair_failed,a3,,,
Profile-MuSiQue × Qwen 7B,musique_recon_00088,1,,,A Moscou é a capital da Rússia.,False,Português,False,repair_failed,a3,,,
Profile-MuSiQue × Qwen 7B,musique_recon_00089,0,,,Os Lusíadas,False,Os Lusíadas,False,repair_failed,a3,,,
Profile-MuSiQue × Qwen 7B,musique_recon_00092,2,,,बार्सेलोना स्पैनिश राज्य में कैटलैनिया प्रदेश में स्थित है।,False,कैतलानिया,False,repair_failed,a4,,,
Profile-MuSiQue × Qwen 7B,musique_recon_00093,1,,,ألف ليلة وليلة,False,ألف ليلة وليلة,False,repair_failed,a1,,,
Profile-MuSiQue × Qwen 7B,musique_recon_00095,0,,,孟买是一个很好的选择，因为它有很多美味的素食选项，并且是一个非常适合休闲旅游的城市。,False,Marseille,False,repair_failed,a2,,,
Profile-MuSiQue × Qwen 7B,musique_recon_00098,1,,,البلاد التي تدير جزر غالปาگوس اليوم هي إقليم إيقلوادور.,False,إcuador هو البلد الذي يحكم جزر غالاباغوس اليوم.,False,repair_failed,a3,,,
Profile-ALFWorld × Mistral Nemo,alfworld_recon_00080,2,,,The knife has been safely placed on a high shelf in the living room.,False,The knife has been placed on the table in the living room.,False,repair_failed,a0,,,
Profile-ALFWorld × Mistral Nemo,alfworld_recon_00081,1,,,"The sponge has been safely stored on a high shelf in the kitchen, respecting the user's constraints and preferences.",False,The sponge has been placed in the kitchen sink.,False,repair_failed,a1,,,
Profile-ALFWorld × Mistral Nemo,alfworld_recon_00083,0,,,"The knife has been safely stored in the fridge, respecting the user's allergy constraint.",False,The knife has been safely stored in the fridge.,False,repair_failed,a0,,,
