task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
real_hotpotqa_00080_5a716a9b5542994082a3e821,hotpotqa_real,detection_only,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,Kevin Elliot Pollak,3739,357,0,3059.5271249767393,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1660, 'prime_tokens_output': 280}"
real_hotpotqa_00081_5add56ad5542992200553abf,hotpotqa_real,detection_only,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,Beau Rivage,3185,323,0,3845.3227090649307,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1421, 'prime_tokens_output': 236}"
real_hotpotqa_00082_5ae7da705542993210983f96,hotpotqa_real,detection_only,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,Renaissance Technologies,3279,297,0,3298.751375172287,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1477, 'prime_tokens_output': 223}"
real_hotpotqa_00083_5a84be095542992a431d1a97,hotpotqa_real,detection_only,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,Diamond v. Chakrabarty came first.,3748,494,0,3665.62662483193,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1581, 'prime_tokens_output': 414}"
real_hotpotqa_00084_5abbf9b355429931dba145fe,hotpotqa_real,detection_only,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,Lean on Pete stars o actor melhor conhecido pelo papel de Timmy Sanders em Granite Flats.,3276,196,0,3053.6880420986563,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1522, 'prime_tokens_output': 138}"
real_hotpotqa_00085_5a80993d5542996402f6a589,hotpotqa_real,detection_only,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,لا يوجد فيلم خيالي كوميدي مشترك بين سكاي جونز وإصدار عام 1999 في السياق المعطى.,3452,338,0,3322.8935829829425,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1531, 'prime_tokens_output': 270}"
real_hotpotqa_00086_5a73471a5542991f9a20c6d7,hotpotqa_real,detection_only,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,Duane 'Dewy' Clarridge,3889,628,0,3373.714833986014,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1547, 'prime_tokens_output': 566}"
real_hotpotqa_00087_5a90c8165542995651fb51ee,hotpotqa_real,detection_only,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,إنه قام بدور في انتفاضة أيرلندا العيدية عام 1916 وأعدم في سجن كيلمانهام,3593,353,0,3071.8498330097646,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1570, 'prime_tokens_output': 286}"
real_hotpotqa_00088_5ac458f8554299204fd21f2a,hotpotqa_real,detection_only,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,"La madre de Yeshashework Yilma, Woizero Aselefech Wolde Hanna, era prima de la emperatriz Taitu Bitul, consorte del emperador Menelik II de Etiopía, quien gobernó desde 1930 hasta 1974.",3776,527,0,3522.4649168085307,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1522, 'prime_tokens_output': 473}"
real_hotpotqa_00089_5ab3eeb5554299233954fff4,hotpotqa_real,detection_only,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,2011,3887,377,0,3747.6677079685032,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1723, 'prime_tokens_output': 312}"
real_hotpotqa_00090_5ae531ee5542990ba0bbb1ff,hotpotqa_real,detection_only,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,Ken Stott,3884,415,0,2938.6769589036703,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1666, 'prime_tokens_output': 364}"
real_hotpotqa_00091_5abba581554299642a094af9,hotpotqa_real,detection_only,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,"Yes, the group which preceded the release of Eric Clapton's 1975 album 'E.C. Was Here' had four people.",4008,504,0,3941.8943747878075,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1697, 'prime_tokens_output': 423}"
real_hotpotqa_00092_5ae5e852554299546bf82fb8,hotpotqa_real,detection_only,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,"Yes, Goldilocks and the Three Bares was a film that was totally separate from the fairy tale from the 19th century.",3590,501,0,3753.0260840430856,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1469, 'prime_tokens_output': 435}"
real_hotpotqa_00093_5a72d3525542991f9a20c5ab,hotpotqa_real,detection_only,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,1905,3505,312,0,3404.2105830740184,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1542, 'prime_tokens_output': 254}"
real_hotpotqa_00094_5adf744d5542992d7e9f937e,hotpotqa_real,detection_only,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,The Kingkiller Chronicle series,4009,438,0,3247.328249970451,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1744, 'prime_tokens_output': 389}"
real_hotpotqa_00095_5ab989f755429970cfb8eb38,hotpotqa_real,detection_only,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,是的，TSR 2002 的创作者是第一个出版角色扮演游戏的人。,3581,424,0,2879.843750037253,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1510, 'prime_tokens_output': 365}"
real_hotpotqa_00096_5a7cad635542996dd594b97f,hotpotqa_real,detection_only,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,Michele Marie Bachmann,3670,395,0,4066.835666075349,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1597, 'prime_tokens_output': 310}"
real_hotpotqa_00097_5ac4f2e755429924173fb503,hotpotqa_real,detection_only,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,是的，蒋中正（蒋 Chung-cheng）在1942年的缅北会战中有所参与。,3790,454,0,4503.776125144213,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1601, 'prime_tokens_output': 374}"
real_hotpotqa_00098_5a7414d855429929fddd83db,hotpotqa_real,detection_only,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,अर्सेनल फुटबॉल क्लब ने 1994 में यूरोपियन कप जीता।,3541,379,0,3884.870291920379,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1548, 'prime_tokens_output': 293}"
real_hotpotqa_00099_5ab94fa25542996be2020474,hotpotqa_real,detection_only,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,No,3534,340,0,3802.0107089541852,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1572, 'prime_tokens_output': 257}"
real_hotpotqa_00080_5a716a9b5542994082a3e821,hotpotqa_real,direct,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,Kevin Elliot Pollak,1660,280,0,0.023499829694628716,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1660, 'prime_tokens_output': 280}"
real_hotpotqa_00081_5add56ad5542992200553abf,hotpotqa_real,direct,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,Beau Rivage,1421,236,0,0.06587500683963299,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1421, 'prime_tokens_output': 236}"
real_hotpotqa_00082_5ae7da705542993210983f96,hotpotqa_real,direct,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,Renaissance Technologies,1477,223,0,0.01908303238451481,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1477, 'prime_tokens_output': 223}"
real_hotpotqa_00083_5a84be095542992a431d1a97,hotpotqa_real,direct,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,Diamond v. Chakrabarty came first.,1581,414,0,0.042999861761927605,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1581, 'prime_tokens_output': 414}"
real_hotpotqa_00084_5abbf9b355429931dba145fe,hotpotqa_real,direct,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,Lean on Pete stars o actor melhor conhecido pelo papel de Timmy Sanders em Granite Flats.,1522,138,0,0.021124957129359245,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1522, 'prime_tokens_output': 138}"
real_hotpotqa_00085_5a80993d5542996402f6a589,hotpotqa_real,direct,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,لا يوجد فيلم خيالي كوميدي مشترك بين سكاي جونز وإصدار عام 1999 في السياق المعطى.,1531,270,0,0.0253340695053339,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1531, 'prime_tokens_output': 270}"
real_hotpotqa_00086_5a73471a5542991f9a20c6d7,hotpotqa_real,direct,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,Duane 'Dewy' Clarridge,1547,566,0,0.03541703335940838,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1547, 'prime_tokens_output': 566}"
real_hotpotqa_00087_5a90c8165542995651fb51ee,hotpotqa_real,direct,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,إنه قام بدور في انتفاضة أيرلندا العيدية عام 1916 وأعدم في سجن كيلمانهام,1570,286,0,0.028374837711453438,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1570, 'prime_tokens_output': 286}"
real_hotpotqa_00088_5ac458f8554299204fd21f2a,hotpotqa_real,direct,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,"La madre de Yeshashework Yilma, Woizero Aselefech Wolde Hanna, era prima de la emperatriz Taitu Bitul, consorte del emperador Menelik II de Etiopía, quien gobernó desde 1930 hasta 1974.",1522,473,0,0.011499971151351929,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1522, 'prime_tokens_output': 473}"
real_hotpotqa_00089_5ab3eeb5554299233954fff4,hotpotqa_real,direct,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,2011,1723,312,0,0.03987504169344902,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1723, 'prime_tokens_output': 312}"
real_hotpotqa_00090_5ae531ee5542990ba0bbb1ff,hotpotqa_real,direct,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,Ken Stott,1666,364,0,0.011834083124995232,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1666, 'prime_tokens_output': 364}"
real_hotpotqa_00091_5abba581554299642a094af9,hotpotqa_real,direct,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,"Yes, the group which preceded the release of Eric Clapton's 1975 album 'E.C. Was Here' had four people.",1697,423,0,0.040790997445583344,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1697, 'prime_tokens_output': 423}"
real_hotpotqa_00092_5ae5e852554299546bf82fb8,hotpotqa_real,direct,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,"Yes, Goldilocks and the Three Bares was a film that was totally separate from the fairy tale from the 19th century.",1469,435,0,0.021333107724785805,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1469, 'prime_tokens_output': 435}"
