task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
real_lme_00000_gpt4_2ba83207,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,Thrive Market,4460,481,0,6461.900499998592,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 2120, 'prime_tokens_output': 75}"
real_lme_00001_603deb26,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,The user has made Negroni at home 10 times.,4832,683,0,910.9560420038179,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 2157, 'prime_tokens_output': 278}"
real_lme_00002_51c32626,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,February 1st,3880,385,0,4310.227708003367,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1830, 'prime_tokens_output': 78}"
real_lme_00003_8550ddae,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,The user tried a lavender gin fizz recipe last weekend.,4547,807,0,5921.249708000687,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1893, 'prime_tokens_output': 493}"
real_lme_00004_gpt4_2655b836,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,The first issue the user had with their new car after its first service was a GPS system not functioning correctly.,4344,712,0,5656.762375001563,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1918, 'prime_tokens_output': 300}"
real_lme_00005_2698e78f_abs,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,False,False,1.0,True,repair_failed,a1,"[{'node_id': 'a1', 'prior': 0.19999999999999996, 'likelihood': 1.0, 'cost': 2.0, 'posterior': 0.6349206349206349}, {'node_id': 'a3', 'prior': 0.09999999999999998, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 0.31746031746031744}, {'node_id': 'a2', 'prior': 0.0075, 'likelihood': 1.0, 'cost': 2.0, 'posterior': 0.02380952380952381}, {'node_id': 'a0', 'prior': 0.0075, 'likelihood': 1.0, 'cost': 3.0, 'posterior': 0.02380952380952381}]",The information provided is not enough to determine how often the user sees Dr. Johnson.,4128,665,0,31307.913666998502,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier']}, 'prime_tokens_input': 1835, 'prime_tokens_output': 251}"
real_lme_00006_gpt4_1d80365e,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,False,False,1.0,True,repair_failed,a4,"[{'node_id': 'a4', 'prior': 0.09999999999999998, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 0.8}, {'node_id': 'a3', 'prior': 0.0125, 'likelihood': 1.0, 'cost': 2.0, 'posterior': 0.10000000000000003}, {'node_id': 'a2', 'prior': 0.0125, 'likelihood': 1.0, 'cost': 3.0, 'posterior': 0.10000000000000003}, {'node_id': 'a1', 'prior': 0.19999999999999996, 'likelihood': 0.0, 'cost': 4.0, 'posterior': 0.0}, {'node_id': 'a0', 'prior': 0.0075, 'likelihood': 0.0, 'cost': 5.0, 'posterior': 0.0}]",2 days.,4583,1014,0,173237.70916700596,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier']}, 'prime_tokens_input': 1964, 'prime_tokens_output': 425}"
real_lme_00007_5025383b,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,photography and cooking,3686,649,0,1675.316583001404,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1694, 'prime_tokens_output': 120}"
real_lme_00008_gpt4_cd90e484,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,Two weeks,3894,414,0,6149.972291997983,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1836, 'prime_tokens_output': 78}"
real_lme_00009_c19f7a0b,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,The user usually gets home from work at 6:30 pm on weeknights.,4319,531,0,5054.799916004413,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1976, 'prime_tokens_output': 216}"
