task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
musique_recon_00080,musique_recon,direct,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,巴西的官方语言是葡萄牙语。,601,358,0,0.025416957214474678,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 601, 'prime_tokens_output': 358}"
musique_recon_00081,musique_recon,direct,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,Buenos Aires,596,272,0,0.22958405315876007,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 596, 'prime_tokens_output': 272}"
musique_recon_00082,musique_recon,direct,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,A Gujarat é um estado na Índia.,612,165,0,0.040125101804733276,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 612, 'prime_tokens_output': 165}"
musique_recon_00083,musique_recon,direct,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,Os Lusíadas,544,470,0,0.1029579434543848,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 544, 'prime_tokens_output': 470}"
musique_recon_00084,musique_recon,direct,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,"O Danúbio flui através de Viena, a capital da Áustria.",597,260,0,0.02587493509054184,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 597, 'prime_tokens_output': 260}"
musique_recon_00085,musique_recon,direct,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,المدينة المفضلة لرحلة الطهي هي مومباي، حيث أنها المدينة الشهيرة بالطعام النباتي في العالم ولها تقليد غذائي نباتي قوي، مما يجعلها مثالية للعثور على أطباق متنوعة ولذيذة.,598,431,0,0.03508315421640873,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 598, 'prime_tokens_output': 431}"
musique_recon_00086,musique_recon,direct,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,चंग राज्य में कॉन्फुसियस रहता था। चंग राज्य चीन के एक राज्य है।,644,432,0,0.14408305287361145,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 644, 'prime_tokens_output': 432}"
musique_recon_00087,musique_recon,direct,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,ألف ليلة وليلة,575,207,0,0.032125040888786316,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 575, 'prime_tokens_output': 207}"
musique_recon_00088,musique_recon,direct,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,La moneda que usa Polonia es el Polish złoty (PLN).,594,401,0,0.02129189670085907,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 594, 'prime_tokens_output': 401}"
musique_recon_00089,musique_recon,direct,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,Os Lusíadas,603,483,0,0.032291049137711525,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 603, 'prime_tokens_output': 483}"
