task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
real_musique_00000_3hop1__617062_127905_80487,musique_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,True,repaired,a5,"[{'node_id': 'a4', 'prior': 0.05, 'likelihood': 1.0, 'cost': 2.0, 'posterior': 0.35714285714285715}, {'node_id': 'a2', 'prior': 0.05, 'likelihood': 1.0, 'cost': 4.0, 'posterior': 0.35714285714285715}, {'node_id': 'a3', 'prior': 0.020000000000000004, 'likelihood': 1.0, 'cost': 3.0, 'posterior': 0.14285714285714288}, {'node_id': 'a5', 'prior': 0.020000000000000004, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 0.14285714285714288}]","The MLB All-Star game is played on July 11, 2017.",4747,1025,0,155884.06970800133,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier']}, 'prime_tokens_input': 1978, 'prime_tokens_output': 477}"
real_musique_00001_3hop1__132968_40769_64047,musique_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,Sales began worldwide in April 2012 for the RX 350 and RX 450h.,4003,863,0,48995.90675000218,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1708, 'prime_tokens_output': 337}"
real_musique_00002_3hop2__36852_326964_7713,musique_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,Nanjing was the capital city of Yangzhou for about 400 years.,3974,520,0,26921.779583994066,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1730, 'prime_tokens_output': 229}"
real_musique_00003_3hop1__813285_774554_64412,musique_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,"Vatican City became its own country on 11 February 1929, before the death of Pope Pius XI.",4384,615,0,25855.319833004614,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1905, 'prime_tokens_output': 323}"
real_musique_00004_3hop2__92991_28727_76291,musique_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,"The Republican Party, which Alaska generally supports, took control of the US House in January 2011 and the US Senate in January 2015.",3690,621,0,341754.498291004,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1561, 'prime_tokens_output': 320}"
real_musique_00005_3hop1__446612_160545_60577,musique_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,The Beach was filmed in Thailand at a place called Ko Phi Phi Leh.,3847,517,0,12419.634791993303,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1719, 'prime_tokens_output': 200}"
real_musique_00006_3hop2__57233_106716_56883,musique_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,Conscription was introduced in the United States in 1964.,4013,919,0,20120.412917021895,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1680, 'prime_tokens_output': 381}"
real_musique_00007_3hop1__313670_42197_18397,musique_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,Mao Zedong announced his intention to intervene in the Korean conflict in the Politburo.,4121,780,0,16251.693708007224,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1762, 'prime_tokens_output': 347}"
real_musique_00008_3hop1__639955_834494_34109,musique_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,The PBS station of the city in the same county as Helvetia is KUAT-TV 6.,4549,764,0,12185.958332993323,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1949, 'prime_tokens_output': 379}"
real_musique_00009_3hop1__312146_720914_27537,musique_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,Roncalli left London for the conclave in Rome.,4317,664,0,12619.757166015916,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1800, 'prime_tokens_output': 347}"
real_musique_00010_3hop1__24980_42197_18397,musique_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,The Politburo,4223,864,0,21375.405583996326,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1777, 'prime_tokens_output': 399}"
