,,fault_node_predicted,success,tokens_input,tokens_output,violation_rate
method,,intro_specter_llm,intro_specter_llm,intro_specter_llm,intro_specter_llm,intro_specter_llm
task_id,seed,,,,,
real_lme_00000_gpt4_2ba83207,42,,True,4536,707,0.0
real_lme_00001_603deb26,42,,True,4847,783,0.0
real_lme_00002_51c32626,42,,True,3880,385,0.0
real_lme_00003_8550ddae,42,,True,4344,848,0.0
real_lme_00004_gpt4_2655b836,42,,True,4438,769,0.0
real_lme_00005_2698e78f_abs,42,a3,False,4221,723,1.0
real_lme_00006_gpt4_1d80365e,42,a1,False,4445,625,1.0
real_lme_00007_5025383b,42,,True,3684,629,0.0
real_lme_00008_gpt4_cd90e484,42,,True,3894,310,0.0
real_lme_00009_c19f7a0b,42,,True,4468,885,0.0
real_lme_00010_0a34ad58,42,a2,False,4470,449,1.0
real_lme_00011_gpt4_65aabe59,42,,True,4349,276,0.0
real_lme_00012_d6233ab6,42,a2,False,4042,602,1.0
real_lme_00013_7024f17c,42,,True,4919,2191,0.0
real_lme_00014_gpt4_c27434e8_abs,42,a3,True,4101,836,0.0
real_lme_00015_6456829e,42,,True,4623,1065,0.0
real_lme_00016_f8c5f88b,42,,True,4178,223,0.0
real_lme_00017_ba358f49_abs,42,a0,False,4281,236,1.0
real_lme_00018_gpt4_d31cdae3,42,,True,4568,378,0.0
real_lme_00019_gpt4_e414231f,42,,True,4607,934,0.0
real_lme_00020_2698e78f,42,a1,True,3979,571,0.0
real_lme_00021_e56a43b9,42,,True,4691,378,0.0
real_lme_00022_6cb6f249,42,a5,False,4244,1049,1.0
real_lme_00023_e48988bc,42,,True,3546,872,0.0
real_lme_00024_gpt4_4ef30696,42,,True,4455,814,0.0
real_lme_00025_gpt4_4929293b,42,a3,True,4207,906,0.0
real_lme_00026_e6041065,42,,True,4184,827,0.0
real_lme_00027_21d02d0d,42,,True,5082,1466,0.0
real_lme_00028_1f2b8d4f,42,a3,False,4425,851,1.0
real_lme_00029_a11281a2,42,a3,False,4432,815,1.0
real_lme_00030_1de5cff2,42,,True,3726,574,0.0
real_lme_00031_8ebdbe50,42,,True,3780,680,0.0
real_lme_00032_22d2cb42,42,,True,3917,390,0.0
real_lme_00033_gpt4_385a5000,42,a2,False,4297,428,1.0
real_lme_00034_95bcc1c8,42,,True,4014,464,0.0
real_lme_00035_gpt4_2312f94c,42,,True,4000,598,0.0
real_lme_00036_gpt4_468eb063,42,a4,False,4273,874,1.0
real_lme_00037_faba32e5,42,,True,4210,723,0.0
real_lme_00038_b86304ba,42,a3,True,3983,517,0.0
real_lme_00039_gpt4_d6585ce8,42,,True,4573,1028,0.0
real_lme_00040_gpt4_0b2f1d21,42,a4,True,4206,834,0.0
real_lme_00041_5809eb10,42,,True,3850,273,0.0
real_lme_00042_gpt4_5501fe77,42,,True,4314,658,0.0
real_lme_00043_c2ac3c61,42,,True,4199,489,0.0
real_lme_00044_gpt4_ec93e27f,42,,True,4132,417,0.0
real_lme_00045_06db6396,42,,True,4108,688,0.0
real_lme_00046_dc439ea3,42,,True,4251,362,0.0
real_lme_00047_f685340e,42,a2,False,3974,444,1.0
real_lme_00048_dccbc061,42,,True,3607,384,0.0
real_lme_00049_0862e8bf_abs,42,a0,True,4368,196,0.0
real_lme_00050_0862e8bf,42,,True,4175,589,0.0
real_lme_00051_2ebe6c90,42,a6,False,4223,1029,1.0
real_lme_00052_1faac195,42,,True,4072,195,0.0
real_lme_00053_21d02d0d,42,,True,4751,912,0.0
real_lme_00054_603deb26,42,a0,True,4314,298,0.0
real_lme_00055_7e974930,42,,True,4563,888,0.0
real_lme_00056_27016adc,42,,True,3906,560,0.0
real_lme_00057_dd2973ad,42,,True,4228,317,0.0
real_lme_00058_b320f3f8,42,,True,3646,298,0.0
real_lme_00059_2ebe6c90,42,a4,False,4433,948,1.0
