task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
travelplanner_recon_00080,travelplanner_recon,direct,deepseek-ai/DeepSeek-V3.1,0,False,False,1.0,True,,,,"breakfast: Brunch & Cake (wheelchair accessible, pescatarian options, upscale) | morning_activity: Picasso Museum (fully accessible, elevator access) | lunch: Thai Barcelona Eixample (wheelchair accessible, Thai cuisine, pescatarian options, high-end) | afternoon_activity: Montjuïc Cable Car (wheelchair accessible, panoramic views) | dinner: Bangkok Cafe (Thai restaurant, pescatarian friendly, wheelchair accessible, upscale) | hotel: Hotel Arts Barcelona (luxury, wheelchair accessible, beachfront)",546,531,0,0.03933301195502281,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 546, 'prime_tokens_output': 531}"
travelplanner_recon_00081,travelplanner_recon,direct,deepseek-ai/DeepSeek-V3.1,0,True,True,0.0,False,,,,"breakfast: Brunch & Cake (wheelchair-accessible, French-inspired menu) | morning_activity: Guided tour of accessible routes in Park Güell (flat, paved paths) | lunch: Restaurant Gaig (high-end, French-Catalan fusion, wheelchair-accessible) | afternoon_activity: Picasso Museum (fully wheelchair-accessible) | dinner: Lasarte (3-Michelin-starred French restaurant, omnivore menu, wheelchair access) | hotel: Hotel Majestic (5-star, wheelchair-accessible rooms and facilities)",526,572,0,1.590625150129199,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 526, 'prime_tokens_output': 572}"
travelplanner_recon_00082,travelplanner_recon,direct,deepseek-ai/DeepSeek-V3.1,0,True,True,0.0,False,,,,"breakfast: Le Meurice Alain Ducasse (luxury hotel restaurant with vegetarian options and wheelchair access) | morning_activity: Louvre Museum (wheelchair-accessible, with priority access for high-budget visitors) | lunch: L'Arpège (high-end vegetarian-friendly restaurant with wheelchair access) | afternoon_activity: Seine River wheelchair-accessible boat tour (luxury option available) | dinner: Sangeet Restaurant (upscale Indian cuisine, vegetarian-friendly, wheelchair-accessible) | hotel: Four Seasons Hotel George V (luxury, wheelchair-accessible)",556,539,0,0.07541617378592491,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 556, 'prime_tokens_output': 539}"
travelplanner_recon_00083,travelplanner_recon,direct,deepseek-ai/DeepSeek-V3.1,0,True,True,0.0,False,,,,"breakfast: Koku Kitchen (wheelchair-accessible, budget-friendly Japanese-inspired cafe), morning_activity: Parc de la Ciutadella (flat paths, wheelchair-accessible, free entry), lunch: Sushi Shop (affordable, wheelchair-accessible Japanese fast-casual), afternoon_activity: Barcelona Beach (wheelchair-accessible promenade, free), dinner: Yoi Yoi Gimbap (low-cost, accessible Japanese-Korean fusion), hotel: Hotel Lloret Ramblas (budget-friendly, wheelchair-accessible accommodations).",558,592,0,0.06900005973875523,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 558, 'prime_tokens_output': 592}"
travelplanner_recon_00084,travelplanner_recon,direct,deepseek-ai/DeepSeek-V3.1,0,True,True,0.0,False,,,,"breakfast: Theobroma, Bandra (pescatarian-friendly bakery) | morning_activity: Gateway of India and Taj Mahal Palace (landmark visit) | lunch: Yazu - Pan Asian & Sushi Bar, Bandra (pescatarian sushi/Asian) | afternoon_activity: Colaba Causeway (shopping and street food) | dinner: Little Italy, Juhu (Italian cuisine with pescatarian options) | hotel: Hotel Suba Palace, Marine Lines (medium-budget accommodation)",516,673,0,0.029790913686156273,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 516, 'prime_tokens_output': 673}"
travelplanner_recon_00085,travelplanner_recon,direct,deepseek-ai/DeepSeek-V3.1,0,True,True,0.0,False,,,,"breakfast: Vegetarian breakfast at Café Kitsuné (Japanese-inspired, vegetarian options) | morning_activity: Visit Jardin du Luxembourg (free entry, walkable) | lunch: Lunch at Kunitoraya (vegetarian Japanese dishes, medium budget) | afternoon_activity: Explore Le Marais district (walking-friendly, affordable) | dinner: Dinner at Aki Restaurant (vegetarian Japanese cuisine, medium price) | hotel: Hôtel Fabric (mid-range, central location)",526,568,0,0.014374963939189911,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 526, 'prime_tokens_output': 568}"
travelplanner_recon_00086,travelplanner_recon,direct,deepseek-ai/DeepSeek-V3.1,0,False,False,1.0,True,,,,"breakfast: T's Tantan Vegan Cafe (high-end vegan options) | morning_activity: Tokyo National Museum (wheelchair-accessible, cultural experience) | lunch: Ristorante e Pizza da Gaetano (vegan Italian, upscale) | afternoon_activity: Imperial Palace East Gardens (accessible paths, free entry) | dinner: Il Ghiottone (vegan Italian fine dining) | hotel: The Ritz-Carlton Tokyo (luxury, wheelchair-accessible rooms)",580,515,0,0.07325015030801296,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 580, 'prime_tokens_output': 515}"
travelplanner_recon_00087,travelplanner_recon,direct,deepseek-ai/DeepSeek-V3.1,0,True,True,0.0,False,,,,breakfast: High-end vegetarian café like Bluestone Lane in Manhattan. morning_activity: Visit The Metropolitan Museum of Art. lunch: Il Buco Alimentari & Vineria for Italian vegetarian dishes. afternoon_activity: Stroll through Central Park or shop on Fifth Avenue. dinner: L'Artusi for upscale Italian vegetarian dining. hotel: The Plaza Hotel for luxury accommodation.,528,562,0,0.032207928597927094,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 528, 'prime_tokens_output': 562}"
travelplanner_recon_00088,travelplanner_recon,direct,deepseek-ai/DeepSeek-V3.1,0,True,True,0.0,False,,,,"breakfast: Truth Coffee Roasting for artisanal coffee and breakfast with omnivore options, potentially Japanese-inspired pastries. morning_activity: Hike up Table Mountain (take cable car down if preferred) for views and exercise. lunch: Willoughby & Co. at V&A Waterfront for fresh sushi and Japanese-Asian fusion dishes at medium prices. afternoon_activity: Visit Robben Island tour (book in advance) for historical insight. dinner: Sensei Japanese Restaurant in Gardens for authentic Japanese cuisine like ramen or teppanyaki, medium budget. hotel: The Grey Hotel in Green Point for central, medium-budget accommodation.",499,695,0,0.019207829609513283,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 499, 'prime_tokens_output': 695}"
travelplanner_recon_00089,travelplanner_recon,direct,deepseek-ai/DeepSeek-V3.1,0,True,True,0.0,False,,,,"Breakfast: Ain Soph Ripple (Shinjuku) - vegan restaurant with wheelchair access and affordable options. Morning activity: Ueno Park - free, flat paths, wheelchair-accessible. Lunch: Sattva Indian Vegetarian Restaurant (Shibuya) - vegan options, wheelchair-accessible, budget-friendly. Afternoon activity: Tokyo Metropolitan Government Building - free observation decks, wheelchair-accessible. Dinner: Nataraj Indian Restaurant (Roppongi) - vegan options, wheelchair-accessible, affordable. Hotel: Hotel Sunroute Plaza Shinjuku - wheelchair-accessible rooms, budget-friendly.",611,928,0,0.07162499241530895,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 611, 'prime_tokens_output': 928}"
