task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
travelplanner_recon_00080,travelplanner_recon,direct,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,"breakfast: La Barceloneta Seafood Market offers fresh seafood dishes including fish and shellfish options, as well as a wide variety of other items that would suit a pescatarian diet.. morning_activity: Maremagnum Shopping Centre features a range of accessible shops and restaurants, making it a perfect place for morning relaxation and exploration.. lunch: Pescetaria at Maremagnum is a high-end pescatarian restaurant that provides a diverse menu and accommodates wheelchair users with its accessibility features.. afternoon_activity: Ferreries Park is a wheelchair-accessible public park with plenty of green spaces and amenities, offering a pleasant environment for a leisurely afternoon.. dinner: Boqueria Market, located in the heart of El Born, has several Thai food stalls where you can enjoy authentic Thai cuisine without any dietary restrictions.. hotel: Hotel Arts Barcelona offers luxury accommodations with excellent facilities for guests using wheelchairs, including accessible rooms and elevators.",538,531,0,0.045416876673698425,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 538, 'prime_tokens_output': 531}"
travelplanner_recon_00081,travelplanner_recon,direct,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,"The one-day itinerary in Barcelona includes: visiting Restaurant Le Comptoir du Relais for breakfast, exploring La Pedrera (Casa Milà) in the morning, having lunch at Au Petit Bistro Grec, enjoying a visit to Fundació Joan Miró in the afternoon, and dining at Bistro La Paillade for dinner. The user will stay at Hotel 1898.",520,769,0,0.07516681216657162,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 520, 'prime_tokens_output': 769}"
travelplanner_recon_00082,travelplanner_recon,direct,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,"Dinner: Booked a table at 'Taj Mahal', an upscale Indian restaurant known for its exquisite vegetarian Indian cuisine. Hotel: Le Bristol Paris, a high-end hotel with wheelchair accessibility.",581,586,0,0.13191602192819118,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 581, 'prime_tokens_output': 586}"
travelplanner_recon_00083,travelplanner_recon,direct,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,breakfast: Free breakfast at Hotel Balmes. morning_activity: Visit Parc de la Ciutadella. lunch: Eat at Sakura Tei. afternoon_activity: Shop at La Boqueria market. dinner: Dine at Barceloneta Beachside restaurant. hotel: Stay at Hotel Balmes,550,735,0,0.09558303281664848,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 550, 'prime_tokens_output': 735}"
travelplanner_recon_00084,travelplanner_recon,direct,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,"Breakfast at Cafe Paradiso, Morning Activity: Colaba Causeway Fish Market, Lunch at Ostia, Afternoon Activity: Gateway of India, Dinner at Baveli by Balthazar, Hotel: The Leela Mumbai.",508,506,0,0.01970888115465641,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 508, 'prime_tokens_output': 506}"
travelplanner_recon_00085,travelplanner_recon,direct,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,"Breakfast: Le Pain Quotidien, Morning Activity: Louvre Museum, Lunch: Jiro Sushi, Afternoon Activity: Jardin du Luxembourg, Dinner: Tsukiji, Hotel: Hotel des Arts et Metiers",516,517,0,0.06254203617572784,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 516, 'prime_tokens_output': 517}"
travelplanner_recon_00086,travelplanner_recon,direct,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,"breakfast: Set menu at Green Garden including vegan pasta and fruit platter.. morning_activity: Visit the Tokyo National Museum, which is wheelchair accessible.. lunch: Enjoy a vegan pizza and salad at 'Sora Pizza'.. afternoon_activity: Explore Tsukiji Outer Market for local Japanese produce and crafts.. dinner: Reserve a spot for the Green Garden tasting menu with an Italian twist.. hotel: Stay at Park Hyatt Tokyo for the night.",571,1137,0,0.10450021363794804,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 571, 'prime_tokens_output': 1137}"
travelplanner_recon_00087,travelplanner_recon,direct,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,"Here is your one-day itinerary in New York: 

- Breakfast: Veggie Delight at The Halal Guys (Brooklyn Diner location).
- Morning Activity: Visit the High Line.
- Lunch: Spaghetti Carbonara at Carbone.
- Afternoon Activity: Explore the Chelsea Market.
- Dinner: Mushroom Ravioli at L'Artusi in the West Village.
- Hotel: Loews Regency Hotel.",518,720,0,0.015999889001250267,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 518, 'prime_tokens_output': 720}"
travelplanner_recon_00088,travelplanner_recon,direct,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,breakfast: The Breakfast Club. morning_activity: V&A Waterfront. lunch: The Fish Market. afternoon_activity: Table Mountain Hike. dinner: Sushi Cape. hotel: Cape Town Hotel B&B,492,835,0,0.038125086575746536,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 492, 'prime_tokens_output': 835}"
travelplanner_recon_00089,travelplanner_recon,direct,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,breakfast: Alchemy Vegetarian. morning_activity: Rikishi Temple. lunch: Green Tea. afternoon_activity: Wheelchair accessible local market in Tokyo. dinner: Alchemy Vegetarian. hotel: Hotel Sapporo,636,551,0,0.08874991908669472,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 636, 'prime_tokens_output': 551}"
travelplanner_recon_00090,travelplanner_recon,direct,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,breakfast: Thai Veggie Corner. morning_activity: Visit Chhatrapati Shivaji Maharaj Vastu Sangrahalaya museum. lunch: Green Cuisine near the museum. afternoon_activity: Walk through the Prince of Wales Museum. dinner: 'Thai Garden' at 7 PM. hotel: 'The Vegetarian Pod',517,738,0,0.02837507054209709,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 517, 'prime_tokens_output': 738}"
travelplanner_recon_00091,travelplanner_recon,direct,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,"One-day high-budget vegan itinerary in Paris:
- Breakfast: 'Le Pain Quotidien'
- Morning Activity: Louvre Museum
- Lunch: Green Curry (Vegan Thai Restaurant)
- Afternoon Activity: Musée d'Orsay
- Dinner: Green Curry (Vegan Thai Restaurant)
- Hotel: Hôtel Le Meurice",540,760,0,0.09891600348055363,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 540, 'prime_tokens_output': 760}"
travelplanner_recon_00092,travelplanner_recon,direct,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,"The one-day itinerary for the user in Mumbai includes the following activities: 
- Breakfast: Cipriani Mumbai
- Morning activity: Chhatrapati Shivaji Maharaj Vastu Sangrahalaya Museum Tour
- Lunch: L'Atelier de Joël Robuchon
- Afternoon activity: Cooking Class at the Italian Cultural Institute
- Dinner: Da Francesco
- Hotel: The Leela Palace Mumbai",520,674,0,0.0438750721514225,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 520, 'prime_tokens_output': 674}"
