Building 60 5-fault (3 hop + 2 profile) musique_real hop examples (bench_seed=42, scan_limit=760)...
Built 60 examples. seeds=[0, 1, 2], model=qwen-2.5-7b, arms=['direct', 'self_refine', 'full_regen', 'react', 'selfcheckgpt', 'reflexion', 'intro_specter']
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=0 arm=direct: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/5 tokens=(1751,352)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=0 arm=self_refine: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/5 tokens=(4001,917)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=0 arm=full_regen: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/5 tokens=(3502,703)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=0 arm=react: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/5 tokens=(3555,1298)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=0 arm=selfcheckgpt: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/5 tokens=(10211,548)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=0 arm=reflexion: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/5 tokens=(1751,352)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=0 arm=intro_specter: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/5 tokens=(4155,952)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=1 arm=direct: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/5 tokens=(1751,352)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=1 arm=self_refine: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/5 tokens=(4001,917)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=1 arm=full_regen: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'concise': True, 'english': True} all_resolved=False n_resolved=2/5 tokens=(3502,514)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=1 arm=react: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/5 tokens=(3555,1298)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=1 arm=selfcheckgpt: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/5 tokens=(12026,691)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=1 arm=reflexion: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/5 tokens=(1751,352)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=1 arm=intro_specter: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/5 tokens=(4155,952)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=2 arm=direct: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'concise': True, 'english': True} all_resolved=False n_resolved=2/5 tokens=(1751,428)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=2 arm=self_refine: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'concise': True, 'english': True} all_resolved=False n_resolved=2/5 tokens=(4041,1052)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=2 arm=full_regen: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'concise': True, 'english': True} all_resolved=False n_resolved=2/5 tokens=(3502,587)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=2 arm=react: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/5 tokens=(3555,1016)
  N=5 real_musique_hop_00001_3hop1__145290_443779_52195 seed=2 arm=selfcheckgpt: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'concise': True, 'english': True} all_resolved=False n_resolved=2/5 tokens=(11915,683)
