Building 60 2-fault-injected longmemeval_real examples (bench_seed=42, scan_limit=3000, model=qwen-2.5-7b provider=openrouter model_id=qwen/qwen-2.5-7b-instruct)...
Built 60 examples. seeds=[0, 1, 2], arms=['direct', 'self_refine', 'reflexion', 'full_regen', 'react', 'selfcheckgpt', 'intro_specter']
  model=qwen-2.5-7b N=2 arm=direct real_lme_00000_gpt4_2ba83207 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2369,303)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00000_gpt4_2ba83207 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2369,303)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00000_gpt4_2ba83207 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2369,264)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00001_603deb26 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2458,319)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00001_603deb26 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2458,319)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00001_603deb26 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2458,281)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00002_51c32626 seed=0: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2140,235)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00002_51c32626 seed=1: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2140,235)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00002_51c32626 seed=2: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2140,208)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00004_gpt4_2655b836 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2151,171)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00004_gpt4_2655b836 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2151,171)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00004_gpt4_2655b836 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2151,152)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00005_2698e78f_abs seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2118,169)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00005_2698e78f_abs seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2118,169)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00005_2698e78f_abs seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2118,166)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00006_gpt4_1d80365e seed=0: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2252,240)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00006_gpt4_1d80365e seed=1: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2252,240)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00006_gpt4_1d80365e seed=2: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2252,214)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00007_5025383b seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2023,178)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00007_5025383b seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2023,178)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00007_5025383b seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2023,191)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00008_gpt4_cd90e484 seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2149,253)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00008_gpt4_cd90e484 seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2149,253)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00008_gpt4_cd90e484 seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2149,189)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00009_c19f7a0b seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2270,154)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00009_c19f7a0b seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2270,154)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00009_c19f7a0b seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2270,172)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00010_0a34ad58 seed=0: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(2646,458)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00010_0a34ad58 seed=1: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(2646,458)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00010_0a34ad58 seed=2: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(2646,500)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00011_gpt4_65aabe59 seed=0: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2366,326)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00011_gpt4_65aabe59 seed=1: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2366,326)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00011_gpt4_65aabe59 seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2366,274)
  model=qwen-2.5-7b N=2 arm=direct real_lme_00012_d6233ab6 seed=0: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(2564,290)
