task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
real_lme_00000_gpt4_2ba83207,longmemeval_real,intro_specter_llm,mistralai/mistral-nemo,42,False,False,1.0,True,repair_failed,a3,"[{'node_id': 'a3', 'prior': 0.05, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 1.0}]",The user's most recent grocery trip within the past month was at Trader Joe's.,5105,792,0,50195.14216698008,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier', 'spr_round_1']}, 'prime_tokens_input': 2260, 'prime_tokens_output': 349}"
real_lme_00001_603deb26,longmemeval_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,True,repaired,a2,"[{'node_id': 'a2', 'prior': 0.050000000000000044, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 0.7142857142857144}, {'node_id': 'a1', 'prior': 0.0125, 'likelihood': 1.0, 'cost': 2.0, 'posterior': 0.17857142857142846}, {'node_id': 'a0', 'prior': 0.0075, 'likelihood': 1.0, 'cost': 3.0, 'posterior': 0.10714285714285707}]",The user has made a Negroni at home 10 times since their friend Emma showed them how to make it.,5084,707,0,113806.01804199978,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier']}, 'prime_tokens_input': 2241, 'prime_tokens_output': 370}"
real_lme_00002_51c32626,longmemeval_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,The user submitted their research paper on sentiment analysis on February 1st.,4333,561,0,20652.49649999896,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1879, 'prime_tokens_output': 341}"
real_lme_00003_8550ddae,longmemeval_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,The user tried a lavender gin fizz recipe last weekend.,4315,504,0,10338.61008301028,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1965, 'prime_tokens_output': 196}"
real_lme_00004_gpt4_2655b836,longmemeval_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,The GPS system not functioning correctly.,4339,470,0,29587.466833996587,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1993, 'prime_tokens_output': 137}"
real_lme_00005_2698e78f_abs,longmemeval_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,True,repaired,a0,"[{'node_id': 'a0', 'prior': 0.0075, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 1.0}]",The information provided is not enough. You mentioned seeing Dr. Smith but not Dr. Johnson.,4036,186,0,19220.574499981012,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier']}, 'prime_tokens_input': 1900, 'prime_tokens_output': 76}"
real_lme_00006_gpt4_1d80365e,longmemeval_real,intro_specter_llm,mistralai/mistral-nemo,42,False,False,1.0,True,repair_failed,a3,"[{'node_id': 'a3', 'prior': 0.09999999999999998, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 1.0}]",The user spent 2 days on their solo camping trip to Yosemite National Park.,4811,826,0,381839.46300001116,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier', 'spr_round_1']}, 'prime_tokens_input': 2069, 'prime_tokens_output': 346}"
real_lme_00007_5025383b,longmemeval_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,Your hobbies that led you to join online communities are photography and cooking.,3936,499,0,9686.079666018486,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1764, 'prime_tokens_output': 216}"
real_lme_00008_gpt4_cd90e484,longmemeval_real,intro_specter_llm,mistralai/mistral-nemo,42,False,False,1.0,True,repair_failed,a2,"[{'node_id': 'a2', 'prior': 0.0125, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 1.0}]",The user had their new binoculars for a total of three weeks before seeing the American goldfinches.,4324,595,0,35359.08437499893,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier', 'spr_round_1']}, 'prime_tokens_input': 1892, 'prime_tokens_output': 269}"
real_lme_00009_c19f7a0b,longmemeval_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,You usually get home from work at 6:30 pm.,4679,539,0,8474.72662499058,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 2060, 'prime_tokens_output': 326}"
real_lme_00010_0a34ad58,longmemeval_real,intro_specter_llm,mistralai/mistral-nemo,42,False,False,1.0,True,repair_failed,a2,"[{'node_id': 'a2', 'prior': 0.30000000000000004, 'likelihood': 1.0, 'cost': 2.0, 'posterior': 1.0}]","To help you navigate Tokyo's public transportation, make sure to touch your Suica card on the reader at the ticket gate when entering and exiting the station. This will ensure smooth and convenient travel using your existing resources.",4926,629,0,43625.63154200325,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier', 'spr_round_1']}, 'prime_tokens_input': 2180, 'prime_tokens_output': 354}"
real_lme_00011_gpt4_65aabe59,longmemeval_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,The user set up the smart thermostat first.,4633,429,0,9046.290833997773,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 2113, 'prime_tokens_output': 214}"
real_lme_00012_d6233ab6,longmemeval_real,intro_specter_llm,mistralai/mistral-nemo,42,False,False,1.0,True,repair_failed,a1,"[{'node_id': 'a1', 'prior': 0.09999999999999998, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 1.0}]","Attending your high school reunion could be a great opportunity to reconnect with old friends and revisit favorite subjects like history and economics, which you enjoyed during your time at the school.",4377,582,0,25218.765083001927,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier', 'spr_round_1']}, 'prime_tokens_input': 1902, 'prime_tokens_output': 362}"
real_lme_00013_7024f17c,longmemeval_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,The user did 0.5 hours of yoga last week and 0 hours of jogging.,4406,973,0,26971.31262498442,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1884, 'prime_tokens_output': 404}"
real_lme_00014_gpt4_c27434e8_abs,longmemeval_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,True,repaired_via_spr,a0,"[{'node_id': 'a0', 'prior': 0.0075, 'likelihood': 1.0, 'cost': 2.0, 'posterior': 0.37499999999999994}, {'node_id': 'a1', 'prior': 0.0075, 'likelihood': 1.0, 'cost': 2.0, 'posterior': 0.37499999999999994}, {'node_id': 'a2', 'prior': 0.05, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 0.25}]",The information provided is not enough. You did not mention starting the Porsche 991 Turbo S model.,4010,492,0,106547.87300000316,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier', 'spr_round_1_decision', 'spr_round_1_post_verifier']}, 'prime_tokens_input': 1815, 'prime_tokens_output': 163}"
real_lme_00015_6456829e,longmemeval_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,The user initially planted 8 plants for tomatoes and cucumbers.,4638,545,0,15366.903041984187,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 2034, 'prime_tokens_output': 334}"
real_lme_00016_f8c5f88b,longmemeval_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,The user bought their new tennis racket from the sports store downtown.,4555,718,0,14969.436874991516,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 2028, 'prime_tokens_output': 288}"
real_lme_00017_ba358f49_abs,longmemeval_real,intro_specter_llm,mistralai/mistral-nemo,42,False,False,1.0,True,repair_failed,a0,"[{'node_id': 'a0', 'prior': 0.0075, 'likelihood': 1.0, 'cost': 3.0, 'posterior': 0.42857142857142855}, {'node_id': 'a2', 'prior': 0.05, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 0.28571428571428575}, {'node_id': 'a1', 'prior': 0.05, 'likelihood': 1.0, 'cost': 2.0, 'posterior': 0.28571428571428575}]",Rachel will be 30 years old when you get married.,4664,523,0,134877.14158301242,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier', 'spr_round_1_decision', 'spr_round_1_post_verifier', 'spr_round_2_decision', 'spr_round_2_post_verifier']}, 'prime_tokens_input': 2108, 'prime_tokens_output': 206}"
real_lme_00018_gpt4_d31cdae3,longmemeval_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,The user's first trip was the family road trip across the American Southwest.,4950,420,0,3479.37987500336,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 2210, 'prime_tokens_output': 317}"
real_lme_00019_gpt4_e414231f,longmemeval_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,The user did not service or fix their road bike over the past weekend.,4527,517,0,9664.809040987166,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 2054, 'prime_tokens_output': 225}"
