task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
real_lme_00000_gpt4_2ba83207,longmemeval_real,direct,mistralai/mistral-nemo,42,False,False,1.0,True,,,,The user spent the most money at Trader Joe's in the past month.,2259,570,0,0.03833300434052944,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 2259, 'prime_tokens_output': 570}"
real_lme_00001_603deb26,longmemeval_real,direct,mistralai/mistral-nemo,42,True,True,0.0,False,,,,You have tried making a Negroni at home 10 times since your friend Emma showed you how to make it.,2240,225,0,0.01270900247618556,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 2240, 'prime_tokens_output': 225}"
real_lme_00002_51c32626,longmemeval_real,direct,mistralai/mistral-nemo,42,True,True,0.0,False,,,,You submitted your research paper on sentiment analysis on February 1st.,1878,195,0,0.025624998670537025,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1878, 'prime_tokens_output': 195}"
real_lme_00003_8550ddae,longmemeval_real,direct,mistralai/mistral-nemo,42,True,True,0.0,False,,,,The user tried a lavender gin fizz recipe last weekend.,1964,183,0,0.019582999811973423,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1964, 'prime_tokens_output': 183}"
real_lme_00004_gpt4_2655b836,longmemeval_real,direct,mistralai/mistral-nemo,42,False,False,1.0,True,,,,The first issue was with the GPS system.,1992,68,0,0.011332995200064033,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1992, 'prime_tokens_output': 68}"
real_lme_00005_2698e78f_abs,longmemeval_real,direct,mistralai/mistral-nemo,42,True,True,0.0,False,,,,The information provided is not enough. You mentioned seeing Dr. Smith but not Dr. Johnson.,1900,99,0,0.02462499833200127,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1900, 'prime_tokens_output': 99}"
real_lme_00006_gpt4_1d80365e,longmemeval_real,direct,mistralai/mistral-nemo,42,False,False,1.0,True,,,,You spent 2 days on your solo camping trip to Yosemite National Park.,2068,294,0,0.03037499845959246,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 2068, 'prime_tokens_output': 294}"
real_lme_00007_5025383b,longmemeval_real,direct,mistralai/mistral-nemo,42,False,False,1.0,True,,,,The two hobbies that led you to join online communities are cooking and photography.,1764,161,0,0.03283299884060398,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1764, 'prime_tokens_output': 161}"
real_lme_00008_gpt4_cd90e484,longmemeval_real,direct,mistralai/mistral-nemo,42,False,False,1.0,True,,,,You used your new binoculars for 14 days before you saw the American goldfinches returning to the area.,1892,175,0,0.017209000361617655,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1892, 'prime_tokens_output': 175}"
real_lme_00009_c19f7a0b,longmemeval_real,direct,mistralai/mistral-nemo,42,True,True,0.0,False,,,,The user usually gets home from work at 6:30 pm on weeknights.,2060,328,0,0.01091699959943071,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 2060, 'prime_tokens_output': 328}"
