task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
pfqa_recon_00080,pfqa_recon,direct,deepseek-ai/DeepSeek-V3.1,0,True,True,0.0,False,,,,The chemical symbol for sodium is Na.,591,270,0,0.020208070054650307,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 591, 'prime_tokens_output': 270}"
pfqa_recon_00081,pfqa_recon,direct,deepseek-ai/DeepSeek-V3.1,0,False,False,1.0,True,,,,"Je recommande un sauté de poulet avec des légumes et du riz pour votre déjeuner aujourd'hui. C'est équilibré, riche en protéines et s'adapte bien au climat indien.",557,305,0,0.03191712312400341,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 557, 'prime_tokens_output': 305}"
pfqa_recon_00082,pfqa_recon,direct,deepseek-ai/DeepSeek-V3.1,0,True,True,0.0,False,,,,Jane Austen escreveu 'Pride and Prejudice',608,353,0,0.017042038962244987,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 608, 'prime_tokens_output': 353}"
pfqa_recon_00083,pfqa_recon,direct,deepseek-ai/DeepSeek-V3.1,0,False,False,1.0,True,,,,"Sugiro uma corrida moderada de 30 minutos, adequada para seu nível de condicionamento físico.",555,234,0,0.02191704697906971,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 555, 'prime_tokens_output': 234}"
pfqa_recon_00084,pfqa_recon,direct,deepseek-ai/DeepSeek-V3.1,0,True,True,0.0,False,,,,O símbolo químico do ouro é Au.,591,227,0,0.022166874259710312,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 591, 'prime_tokens_output': 227}"
pfqa_recon_00085,pfqa_recon,direct,deepseek-ai/DeepSeek-V3.1,0,True,True,0.0,False,,,,In Arabic,618,164,0,0.011832918971776962,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 618, 'prime_tokens_output': 164}"
pfqa_recon_00086,pfqa_recon,direct,deepseek-ai/DeepSeek-V3.1,0,True,True,0.0,False,,,,The longest river in the world is the Nile.,643,305,0,0.023333122953772545,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 643, 'prime_tokens_output': 305}"
pfqa_recon_00087,pfqa_recon,direct,deepseek-ai/DeepSeek-V3.1,0,True,True,0.0,False,,,,The user is currently in London.,610,168,0,0.023541972041130066,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 610, 'prime_tokens_output': 168}"
pfqa_recon_00088,pfqa_recon,direct,deepseek-ai/DeepSeek-V3.1,0,False,False,1.0,True,,,,La capital de Francia es París.,571,255,0,0.025208108127117157,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 571, 'prime_tokens_output': 255}"
pfqa_recon_00089,pfqa_recon,direct,deepseek-ai/DeepSeek-V3.1,0,False,False,1.0,True,,,,O usuário está atualmente em Tóquio.,639,170,0,0.019041122868657112,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 639, 'prime_tokens_output': 170}"
