task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
real_2wiki_00000_18b63dd208a911ebbd7fac1f6bf848b6,twowiki_real,direct,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,,,,The Story of a Maid has the director who is older.,1678,334,0,0.026958005037158728,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1678, 'prime_tokens_output': 334}"
real_2wiki_00001_c3b8a8a4086b11ebbd60ac1f6bf848b6,twowiki_real,direct,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,,,,Jovita Carranza was born first.,1603,245,0,0.014583005395252258,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1603, 'prime_tokens_output': 245}"
real_2wiki_00002_a9f16baa0bdd11eba7f7acde48001122,twowiki_real,direct,qwen/qwen-2.5-7b-instruct,42,False,False,1.0,True,,,,No information available under 20 words.,1747,193,0,0.04691699723480269,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1747, 'prime_tokens_output': 193}"
real_2wiki_00003_578ac41e0bde11eba7f7acde48001122,twowiki_real,direct,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,,,,"On 26 April 1872, William Le Poer Trench, 3rd Earl of Clancarty, died.",1782,114,0,0.0061250029830262065,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1782, 'prime_tokens_output': 114}"
real_2wiki_00004_86806877099411ebbdb0ac1f6bf848b6,twowiki_real,direct,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,,,,yes,1688,245,0,0.02070800110232085,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1688, 'prime_tokens_output': 245}"
real_2wiki_00005_072f19a00bdb11eba7f7acde48001122,twowiki_real,direct,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,,,,Detroit,1663,79,0,0.018250000721309334,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1663, 'prime_tokens_output': 79}"
real_2wiki_00006_990341840bdc11eba7f7acde48001122,twowiki_real,direct,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,,,,"Dell Henderson, whose nationality is listed as Canadian-American, directed the film 'Gambling Wives'.",1421,255,0,0.007415997970383614,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1421, 'prime_tokens_output': 255}"
real_2wiki_00007_7eeb32f4089211ebbd73ac1f6bf848b6,twowiki_real,direct,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,,,,Oliver Palotai was born later than Sherlock Bristol.,1723,224,0,0.023458000214304775,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1723, 'prime_tokens_output': 224}"
real_2wiki_00008_b729a3c80bdd11eba7f7acde48001122,twowiki_real,direct,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,,,,"Ardmore, County Waterford",1304,169,0,0.00583400105824694,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1304, 'prime_tokens_output': 169}"
real_2wiki_00009_a83d0a42087e11ebbd6bac1f6bf848b6,twowiki_real,direct,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,,,,The Mystic,1855,301,0,0.01345899363514036,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1855, 'prime_tokens_output': 301}"
real_2wiki_00010_9dde4d9f089811ebbd77ac1f6bf848b6,twowiki_real,direct,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,,,,No,1732,204,0,0.009666997357271612,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1732, 'prime_tokens_output': 204}"
real_2wiki_00011_bb275b6808a011ebbd78ac1f6bf848b6,twowiki_real,direct,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,,,,Love's Greatest Mistake,1795,294,0,0.013707998732570559,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1795, 'prime_tokens_output': 294}"
real_2wiki_00012_2d72c18c0bb011ebab90acde48001122,twowiki_real,direct,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,,,,Charles William Grant,1590,214,0,0.016999998479150236,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1590, 'prime_tokens_output': 214}"
real_2wiki_00013_dd8d20e40bdd11eba7f7acde48001122,twowiki_real,direct,qwen/qwen-2.5-7b-instruct,42,False,False,1.0,True,,,,No information available,1533,191,0,0.025166002160403877,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1533, 'prime_tokens_output': 191}"
real_2wiki_00014_4c17bba60bb011ebab90acde48001122,twowiki_real,direct,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,,,,Artavasdes I of Media Atropatene,1829,336,0,0.006374997610691935,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1829, 'prime_tokens_output': 336}"
real_2wiki_00015_eb7ece320bdd11eba7f7acde48001122,twowiki_real,direct,qwen/qwen-2.5-7b-instruct,42,False,False,1.0,True,,,,I am not sure where Claudio Silva's wife graduated from as the information is not provided.,1868,198,0,0.015333003830164671,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1868, 'prime_tokens_output': 198}"
real_2wiki_00016_94911d640bdd11eba7f7acde48001122,twowiki_real,direct,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,,,,Ozalj,1804,253,0,0.01375000283587724,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1804, 'prime_tokens_output': 253}"
real_2wiki_00017_1f38945c0bb011ebab90acde48001122,twowiki_real,direct,qwen/qwen-2.5-7b-instruct,42,False,False,1.0,True,,,,"Yes, George Frederick II, Count of Hohenlohe-Waldenburg in Schillingsfürst is the paternal grandfather of George Frederick, Count of Erbach-Breuberg.",2018,344,0,0.031208997825160623,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 2018, 'prime_tokens_output': 344}"
real_2wiki_00018_31611fcc08cd11ebbd93ac1f6bf848b6,twowiki_real,direct,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,,,,Children of Tsunami: No More Tears,1584,321,0,0.016457997844554484,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1584, 'prime_tokens_output': 321}"
real_2wiki_00019_80cea3ec0baf11ebab90acde48001122,twowiki_real,direct,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,,,,"Dietrich VI, Count of Cleves",1746,306,0,0.0149589977809228,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1746, 'prime_tokens_output': 306}"
real_2wiki_00020_5eb8315a089011ebbd72ac1f6bf848b6,twowiki_real,direct,qwen/qwen-2.5-7b-instruct,42,False,False,1.0,True,,,,Yes,1978,387,0,0.029791997803840786,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1978, 'prime_tokens_output': 387}"
real_2wiki_00021_4110745e0bde11eba7f7acde48001122,twowiki_real,direct,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,,,,The place of birth of the composer of song Vem Vet is Stockholm.,1765,171,0,0.014999997802078724,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1765, 'prime_tokens_output': 171}"
real_2wiki_00022_0963c8b80bdd11eba7f7acde48001122,twowiki_real,direct,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,,,,The director of film Used People is from the United Kingdom.,1357,248,0,0.016750003851484507,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1357, 'prime_tokens_output': 248}"
real_2wiki_00023_7ee9577e088611ebbd6dac1f6bf848b6,twowiki_real,direct,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,,,,The Falcon's Alibi,1653,428,0,0.014333003491628915,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1653, 'prime_tokens_output': 428}"
real_2wiki_00024_1fa46e26084911ebbd55ac1f6bf848b6,twowiki_real,direct,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,,,,"Yes, both films have directors of the same nationality.",1922,198,0,0.01512500602984801,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1922, 'prime_tokens_output': 198}"
real_2wiki_00025_2ef233a40baf11ebab90acde48001122,twowiki_real,direct,qwen/qwen-2.5-7b-instruct,42,False,False,1.0,True,,,,"Marion Shields Robinson, with uncertainty marked.",1687,263,0,0.01091699959943071,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1687, 'prime_tokens_output': 263}"
real_2wiki_00026_357b09be0bda11eba7f7acde48001122,twowiki_real,direct,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,,,,American,1515,226,0,0.01779200101736933,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1515, 'prime_tokens_output': 226}"
real_2wiki_00027_7f6e237109c411ebbdb0ac1f6bf848b6,twowiki_real,direct,qwen/qwen-2.5-7b-instruct,42,False,False,1.0,True,,,,No.,1676,130,0,0.024125001800712198,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1676, 'prime_tokens_output': 130}"
real_2wiki_00028_cc2516f80bd911eba7f7acde48001122,twowiki_real,direct,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,,,,His father died on 20 November 1592.,1703,269,0,0.01445900124963373,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1703, 'prime_tokens_output': 269}"
real_2wiki_00029_ce3a708808bd11ebbd8aac1f6bf848b6,twowiki_real,direct,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,,,,Yeti Obhijaan,1620,359,0,0.016582998796366155,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1620, 'prime_tokens_output': 359}"
